POS_TAG ID POS NEG LIST_OF_WORDS
a 28207 0.0 0.0 प्रवासी
a 6542 0.0 0.0 निर्णीत,निर्णित,निपटा_हुआ,तय,तयशुदा
a 9215 0.25 0.0 नखरेबाज,चोचलेबाज,चोंचलेबाज,नखरेबाज़,चोचलेबाज़,चोंचलेबाज़,नखरीला,नख़रेबाज़,नाज़दार,नाजदार
n 10004 0.0 0.0 लोकसेवा,जनसेवा
n 15847 0.0 0.0 अध्यक्षता,अध्यक्षत्व
n 7020 0.0 0.0 मुंशीगीरी,मुनीमगीरी,मुनीबगीरी
a 2862 0.625 0.0 सुडौल,सुगठित,सुघढ़,सुघर
a 7036 0.5 0.0 फिसड्डी
a 2499 0.125 0.25 कुडौल,कुगठित,बेडौल,बेढंगा,बेढब,अनगढ़,अनघढ़,अपरूप
n 14056 0.0 0.0 नलसाजी,नलसज़ी
n 22948 0.0 0.0 कुम्हारी,कुंभकारी,कुम्भकारी,कुलाली,कुंभारी,कुम्भारी,कुम्हारगिरी
n 2804 0.0 0.0 शिक्षा,तालीम
n 9361 0.0 0.0 पत्रकारिता
n 7811 0.0 0.0 राजनीति,राजनय
n 9650 0.0 0.0 डाक्टरी,चिकित्सा
n 2324 0.0 0.0 हस्तलेख,हस्तलिपि
n 15227 0.0 0.0 छवाई,छाजन
n 3305 0.0 0.0 शिकार,आखेट,मृगया,अहेर,अहेड़,अखेट,अभिधावन
a 983 0.0 0.0 दृष्टियुक्त,दृष्टिवंत,दृष्टिवान,डिठियार,डिठियारा,डिठार
a 2160 0.0 0.625 अंधा,अन्धा,दृष्टिहीन,नेत्रहीन,अंध,अन्ध,अँधला,अक्षहीन,अचक्षु,अनयन,चक्षुहीन,सूरदास
a 6806 0.0 0.75 वर्णांध,वर्णांधता_से_पीड़ित
a 1948 0.0 0.0 हस्ताक्षरित,दस्तख़ती,दस्तखती
a 365 0.125 0.375 अहस्ताक्षरित,बग़ैरदस्तख़ती
a 1350 0.375 0.0 विचारणीय,विचार्य,चिंतनीय,चिंत्य,अनुशीलनीय
n 5925 0.0 0.0 योग,जोग
n 10487 0.0 0.0 उदात्तीकरण
n 4256 0.0 0.0 परीक्षा,परख,आज़माइश,अजमाइश,आजमाइश,जाँच,जांच,कसौटी
n 138 0.0 0.0 अनुसंधान,शोध,गवेषणा,अनुसन्धान,अन्वीक्षण,अन्वेषण,अन्वेषणा
n 9057 0.0 0.0 अवलोकन,अवेक्षण,दृष्टिपात
a 2547 0.125 0.625 कठिन,दुरुह,बारीक़,बारीक,सूक्ष्म,अबोधगम्य
a 7779 0.0 0.0 यौगिक_पदार्थ,यौगिक
a 8378 0.0 0.5 मुँह-देखा
n 13311 0.0 0.0 विश्लेषण,अधिगमन
n 34504 0.0 0.0 प्रदूषण
n 18325 0.0 0.0 हानि,घाटा,नुक़सान,नुकसान,हरज़ा,हरजा,हर्ज़ा,हर्जा,क्षति,टोटा,मरायल,अपह्रास
n 28025 0.0 0.0 मालिश,अंग_मर्दन,अंग_मलाई,अंग_सम्मर्दन
n 15120 0.0 0.0 काय-चिकित्सा,कायचिकित्सा
n 6711 0.0 0.0 पोषण,परिपोषण,संपोषण,सम्पोषण
n 10117 0.0 0.125 सेवा-शुश्रूषा,शुश्रूषा,तीमारदारी
a 10273 0.0 0.0 सोलह,षोडश
a 8561 0.0 0.0 उन्नीस,उनीस
a 9041 0.0 0.0 तेईस,तेइस
a 9040 0.0 0.0 तैंतीस,तैतीस
a 13793 0.0 0.0 इकतालीस,एकतालिस,इकचालीस,एकचालीस
a 8814 0.0 0.0 छियालीस,छियालिस
a 10837 0.0 0.0 सैंतालीस,सैंतालिस
a 8562 0.0 0.0 उनचास,उनञ्चास
a 15735 0.0 0.0 इकहत्तर,एकहत्तर
a 9338 0.0 0.0 पचहत्तर
a 8818 0.0 0.0 छिहत्तर
a 1422 0.0 0.0 परतदार,स्तरयुक्त,स्तरित
a 8780 0.0 0.0 चौरानबे,चौरानवे
a 9324 0.0 0.0 पंचानबे,पंचानवे,पनचानबे,पनचानवे
a 6963 0.0 0.0 प्रथम,पहला,औवल,औव्वल,अव्वल,पहिला,अगला
a 9179 0.0 0.0 दूसरा,द्वितीय
a 13709 0.0 0.0 पाँचवाँ,पंचम
a 13713 0.0 0.0 छटवाँ,छठाँ,छठा,षष्टम
a 13717 0.0 0.0 आठवाँ,अष्टम
a 13734 0.0 0.0 उन्नीसवाँ,उनीसवाँ
a 13741 0.0 0.0 तेईसवाँ,तेइसवाँ
a 13746 0.0 0.0 पचीसवाँ,पच्चीसवाँ
a 13747 0.0 0.0 छब्बीसवाँ
a 13749 0.0 0.0 सताईसवाँ,सत्ताईसवाँ
a 13758 0.0 0.0 अठाईसवाँ,अट्ठाईसवाँ,अठाइसवाँ,अट्ठाइसवाँ
a 13760 0.0 0.0 उनतीसवाँ
a 13767 0.0 0.0 इकतीसवाँ,एकतीसवाँ
a 13774 0.0 0.0 चौंतिसवाँ,चौंतीसवाँ,चौतीसवाँ,चौतिसवाँ
a 13786 0.0 0.0 अड़तीसवाँ
a 13788 0.0 0.0 उनतालीसवाँ,उनचालीसवाँ
a 13794 0.0 0.0 इकतालीसवाँ,एकतालिसवाँ,इकचालीसवाँ,एकचालीसवाँ
a 13799 0.0 0.0 तैंतालीसवाँ,तैतालीसवाँ,तिरालीसवाँ
n 9572 0.0 0.0 वंध्यकरण,बंध्यकरण
n 16775 0.0 0.0 एनिमा,वस्तिकर्म,अनिमा
a 13809 0.0 0.0 सैंतालिसवाँ,सैंतालीसवाँ
a 13811 0.0 0.0 अड़तालिसवाँ,अड़तालीसवाँ
a 13812 0.0 0.0 उनचासवाँ
a 13814 0.0 0.0 पचासवाँ
a 15697 0.0 0.0 पचपनवाँ
a 15703 0.0 0.0 साठवाँ
a 15724 0.0 0.0 पैंसठवाँ,पैसठवाँ
a 15733 0.0 0.0 सत्तरवाँ
a 15744 0.0 0.0 पचहत्तरवाँ
a 15755 0.0 0.0 अस्सीवाँ
a 4775 0.0 0.625 मुंडा,केशहीन
a 1944 0.0 0.625 अलिपिबद्ध,अलिखित
a 19065 0.0 0.0 छहगुना,छौगुना,छःगुना
a 19067 0.0 0.0 नौगुना,नवगुना
n 25418 0.0 0.75 जीवाणुनाशन,विसंक्रमण
n 20565 0.25 0.25 एलोपैथी
n 20563 0.0 0.0 होमियोपैथी
n 8064 0.0 0.0 हस्त_शिल्प,कारीगरी,दस्तकारी,शिल्पकारी,हस्तकला
a 29 0.375 0.0 प्रवीण,निपुण,पारंगत,दक्ष,माहिर,अभ्यस्त,क़ाबिल,कुशल,होशियार,पक्का,सिद्धहस्त,पटु,निष्णात,परिपक्व,कार्यकुशल,विचक्षण,अभिज्ञ
a 22 0.0 0.75 अनाड़ी,अप्रवीण,अकुशल,अदक्ष,अनिपुण,अधकचरा,अनाप्त,अनारी,अनैपुण,अपटु,अपाटव,अपात्र
a 2823 0.375 0.25 कलाहीनता,अकलात्मकता
a 23484 0.0 0.375 ढीला
a 8763 0.25 0.0 चिकना,चिक्कन,चिक्कण
